Sample Name, Sample-2
Time, March 20 12:26:29 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, -0.0033, 100.76
401.0, -0.0033, 100.77
402.0, -0.0036, 100.83
403.0, -0.0034, 100.78
404.0, -0.0034, 100.78
405.0, -0.0036, 100.84
406.0, -0.0034, 100.79
407.0, -0.0037, 100.85
408.0, -0.0033, 100.77
409.0, -0.0033, 100.76
410.0, -0.0036, 100.82
411.0, -0.0035, 100.80
412.0, -0.0036, 100.84
413.0, -0.0036, 100.84
414.0, -0.0036, 100.82
415.0, -0.0035, 100.80
416.0, -0.0034, 100.79
417.0, -0.0034, 100.78
418.0, -0.0038, 100.87
419.0, -0.0039, 100.90
420.0, -0.0033, 100.76
421.0, -0.0036, 100.82
422.0, -0.0035, 100.80
423.0, -0.0035, 100.81
424.0, -0.0039, 100.91
425.0, -0.0037, 100.87
426.0, -0.0038, 100.88
427.0, -0.0034, 100.79
428.0, -0.0035, 100.81
429.0, -0.0033, 100.75
430.0, -0.0036, 100.84
431.0, -0.0036, 100.82
432.0, -0.0033, 100.77
433.0, -0.0036, 100.83
434.0, -0.0035, 100.81
435.0, -0.0036, 100.82
436.0, -0.0036, 100.83
437.0, -0.0033, 100.77
438.0, -0.0036, 100.84
439.0, -0.0034, 100.78
440.0, -0.0032, 100.74
441.0, -0.0034, 100.78
442.0, -0.0037, 100.85
443.0, -0.0034, 100.78
444.0, -0.0034, 100.79
445.0, -0.0033, 100.77
446.0, -0.0035, 100.81
447.0, -0.0035, 100.82
448.0, -0.0036, 100.83
449.0, -0.0036, 100.84
450.0, -0.0032, 100.73
451.0, -0.0036, 100.84
452.0, -0.0035, 100.82
453.0, -0.0038, 100.87
454.0, -0.0032, 100.74
455.0, -0.0032, 100.74
456.0, -0.0033, 100.75
457.0, -0.0034, 100.78
458.0, -0.0033, 100.75
459.0, -0.0033, 100.76
460.0, -0.0031, 100.71
461.0, -0.0033, 100.77
462.0, -0.0033, 100.75
463.0, -0.0035, 100.81
464.0, -0.0035, 100.80
465.0, -0.0029, 100.67
466.0, -0.0034, 100.78
467.0, -0.0034, 100.78
468.0, -0.0042, 100.97
469.0, -0.0039, 100.90
470.0, -0.0030, 100.68
471.0, -0.0024, 100.56
472.0, -0.0032, 100.73
473.0, -0.0032, 100.75
474.0, -0.0033, 100.75
475.0, -0.0034, 100.78
476.0, -0.0035, 100.81
477.0, -0.0030, 100.70
478.0, -0.0033, 100.77
479.0, -0.0036, 100.84
480.0, -0.0034, 100.78
481.0, -0.0033, 100.77
482.0, -0.0032, 100.74
483.0, -0.0031, 100.72
484.0, -0.0030, 100.70
485.0, -0.0030, 100.70
486.0, -0.0031, 100.72
487.0, -0.0037, 100.85
488.0, -0.0033, 100.76
489.0, -0.0034, 100.79
490.0, -0.0032, 100.75
491.0, -0.0034, 100.78
492.0, -0.0032, 100.75
493.0, -0.0032, 100.74
494.0, -0.0030, 100.69
495.0, -0.0035, 100.81
496.0, -0.0033, 100.77
497.0, -0.0032, 100.74
498.0, -0.0030, 100.70
499.0, -0.0034, 100.79
500.0, -0.0029, 100.67
501.0, -0.0033, 100.77
502.0, -0.0031, 100.71
503.0, -0.0035, 100.82
504.0, -0.0029, 100.66
505.0, -0.0032, 100.74
506.0, -0.0034, 100.78
507.0, -0.0030, 100.70
508.0, -0.0031, 100.72
509.0, -0.0033, 100.77
510.0, -0.0029, 100.68
511.0, -0.0032, 100.74
512.0, -0.0030, 100.70
513.0, -0.0032, 100.73
514.0, -0.0030, 100.70
515.0, -0.0031, 100.71
516.0, -0.0029, 100.67
517.0, -0.0033, 100.77
518.0, -0.0031, 100.71
519.0, -0.0034, 100.78
520.0, -0.0031, 100.71
521.0, -0.0028, 100.65
522.0, -0.0030, 100.69
523.0, -0.0030, 100.69
524.0, -0.0032, 100.73
525.0, -0.0031, 100.71
526.0, -0.0027, 100.62
527.0, -0.0033, 100.75
528.0, -0.0034, 100.80
529.0, -0.0034, 100.78
530.0, -0.0031, 100.71
531.0, -0.0028, 100.65
532.0, -0.0030, 100.69
533.0, -0.0031, 100.71
534.0, -0.0034, 100.79
535.0, -0.0030, 100.70
536.0, -0.0029, 100.68
537.0, -0.0032, 100.73
538.0, -0.0029, 100.68
539.0, -0.0031, 100.71
540.0, -0.0029, 100.67
541.0, -0.0031, 100.71
542.0, -0.0027, 100.62
543.0, -0.0031, 100.71
544.0, -0.0027, 100.63
545.0, -0.0032, 100.75
546.0, -0.0031, 100.72
547.0, -0.0029, 100.67
548.0, -0.0032, 100.74
549.0, -0.0031, 100.71
550.0, -0.0031, 100.73
551.0, -0.0029, 100.67
552.0, -0.0030, 100.69
553.0, -0.0028, 100.66
554.0, -0.0027, 100.63
555.0, -0.0029, 100.67
556.0, -0.0028, 100.65
557.0, -0.0034, 100.78
558.0, -0.0033, 100.76
559.0, -0.0031, 100.73
560.0, -0.0029, 100.67
561.0, -0.0030, 100.70
562.0, -0.0028, 100.64
563.0, -0.0032, 100.74
564.0, -0.0028, 100.64
565.0, -0.0031, 100.71
566.0, -0.0031, 100.71
567.0, -0.0026, 100.60
568.0, -0.0029, 100.67
569.0, -0.0033, 100.76
570.0, -0.0031, 100.72
571.0, -0.0027, 100.63
572.0, -0.0030, 100.68
573.0, -0.0032, 100.73
574.0, -0.0031, 100.72
575.0, -0.0028, 100.65
576.0, -0.0027, 100.62
577.0, -0.0031, 100.71
578.0, -0.0029, 100.67
579.0, -0.0029, 100.67
580.0, -0.0032, 100.74
581.0, -0.0032, 100.75
582.0, -0.0026, 100.61
583.0, -0.0026, 100.61
584.0, -0.0026, 100.60
585.0, -0.0025, 100.59
586.0, -0.0039, 100.89
587.0, -0.0036, 100.84
588.0, -0.0034, 100.78
589.0, -0.0035, 100.82
590.0, -0.0031, 100.71
591.0, -0.0032, 100.73
592.0, -0.0031, 100.72
593.0, -0.0033, 100.75
594.0, -0.0032, 100.74
595.0, -0.0033, 100.75
596.0, -0.0031, 100.72
597.0, -0.0035, 100.81
598.0, -0.0031, 100.72
599.0, -0.0039, 100.90
600.0, -0.0034, 100.78
601.0, -0.0033, 100.76
602.0, -0.0033, 100.77
603.0, -0.0035, 100.81
604.0, -0.0028, 100.64
605.0, -0.0030, 100.69
606.0, -0.0032, 100.74
607.0, -0.0036, 100.83
608.0, -0.0039, 100.89
609.0, -0.0034, 100.78
610.0, -0.0028, 100.66
611.0, -0.0031, 100.72
612.0, -0.0030, 100.68
613.0, -0.0031, 100.71
614.0, -0.0038, 100.87
615.0, -0.0034, 100.78
616.0, -0.0030, 100.70
617.0, -0.0029, 100.67
618.0, -0.0032, 100.73
619.0, -0.0035, 100.81
620.0, -0.0032, 100.74
621.0, -0.0034, 100.79
622.0, -0.0037, 100.85
623.0, -0.0035, 100.80
624.0, -0.0031, 100.72
625.0, -0.0034, 100.79
626.0, -0.0030, 100.70
627.0, -0.0036, 100.83
628.0, -0.0029, 100.67
629.0, -0.0036, 100.84
630.0, -0.0035, 100.80
631.0, -0.0032, 100.74
632.0, -0.0037, 100.85
633.0, -0.0032, 100.74
634.0, -0.0032, 100.75
635.0, -0.0032, 100.74
636.0, -0.0034, 100.79
