Sample Name, Sample-8
Time, March 20 12:47:15 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, -0.0129, 103.01
401.0, -0.0130, 103.05
402.0, -0.0132, 103.10
403.0, -0.0139, 103.25
404.0, -0.0138, 103.22
405.0, -0.0137, 103.20
406.0, -0.0138, 103.23
407.0, -0.0147, 103.44
408.0, -0.0149, 103.48
409.0, -0.0149, 103.50
410.0, -0.0151, 103.55
411.0, -0.0156, 103.67
412.0, -0.0158, 103.70
413.0, -0.0160, 103.76
414.0, -0.0164, 103.84
415.0, -0.0171, 104.03
416.0, -0.0169, 103.97
417.0, -0.0174, 104.09
418.0, -0.0175, 104.12
419.0, -0.0184, 104.33
420.0, -0.0184, 104.33
421.0, -0.0188, 104.41
422.0, -0.0188, 104.41
423.0, -0.0192, 104.53
424.0, -0.0195, 104.60
425.0, -0.0199, 104.69
426.0, -0.0203, 104.78
427.0, -0.0204, 104.82
428.0, -0.0206, 104.87
429.0, -0.0208, 104.91
430.0, -0.0211, 104.98
431.0, -0.0213, 105.03
432.0, -0.0218, 105.14
433.0, -0.0219, 105.17
434.0, -0.0221, 105.23
435.0, -0.0225, 105.31
436.0, -0.0227, 105.36
437.0, -0.0228, 105.40
438.0, -0.0232, 105.50
439.0, -0.0231, 105.47
440.0, -0.0233, 105.52
441.0, -0.0236, 105.59
442.0, -0.0240, 105.69
443.0, -0.0240, 105.69
444.0, -0.0240, 105.68
445.0, -0.0238, 105.62
446.0, -0.0248, 105.88
447.0, -0.0246, 105.82
448.0, -0.0246, 105.82
449.0, -0.0252, 105.96
450.0, -0.0247, 105.84
451.0, -0.0260, 106.16
452.0, -0.0255, 106.05
453.0, -0.0259, 106.14
454.0, -0.0262, 106.21
455.0, -0.0260, 106.17
456.0, -0.0260, 106.17
457.0, -0.0268, 106.37
458.0, -0.0262, 106.22
459.0, -0.0267, 106.33
460.0, -0.0267, 106.35
461.0, -0.0266, 106.32
462.0, -0.0273, 106.49
463.0, -0.0272, 106.46
464.0, -0.0276, 106.57
465.0, -0.0269, 106.39
466.0, -0.0276, 106.57
467.0, -0.0275, 106.54
468.0, -0.0289, 106.87
469.0, -0.0285, 106.79
470.0, -0.0272, 106.47
471.0, -0.0280, 106.66
472.0, -0.0280, 106.65
473.0, -0.0286, 106.81
474.0, -0.0291, 106.92
475.0, -0.0286, 106.81
476.0, -0.0286, 106.80
477.0, -0.0284, 106.75
478.0, -0.0287, 106.84
479.0, -0.0298, 107.09
480.0, -0.0292, 106.96
481.0, -0.0293, 106.98
482.0, -0.0303, 107.22
483.0, -0.0298, 107.11
484.0, -0.0293, 106.99
485.0, -0.0301, 107.17
486.0, -0.0301, 107.19
487.0, -0.0305, 107.27
488.0, -0.0303, 107.22
489.0, -0.0308, 107.35
490.0, -0.0308, 107.34
491.0, -0.0311, 107.43
492.0, -0.0309, 107.39
493.0, -0.0311, 107.42
494.0, -0.0313, 107.46
495.0, -0.0320, 107.64
496.0, -0.0319, 107.63
497.0, -0.0320, 107.65
498.0, -0.0323, 107.71
499.0, -0.0326, 107.79
500.0, -0.0320, 107.65
501.0, -0.0324, 107.75
502.0, -0.0328, 107.85
503.0, -0.0332, 107.95
504.0, -0.0332, 107.94
505.0, -0.0334, 108.00
506.0, -0.0339, 108.11
507.0, -0.0338, 108.09
508.0, -0.0343, 108.22
509.0, -0.0344, 108.25
510.0, -0.0346, 108.28
511.0, -0.0349, 108.37
512.0, -0.0350, 108.40
513.0, -0.0349, 108.36
514.0, -0.0352, 108.45
515.0, -0.0353, 108.46
516.0, -0.0352, 108.45
517.0, -0.0361, 108.66
518.0, -0.0361, 108.68
519.0, -0.0368, 108.84
520.0, -0.0368, 108.85
521.0, -0.0368, 108.84
522.0, -0.0369, 108.88
523.0, -0.0373, 108.97
524.0, -0.0373, 108.97
525.0, -0.0377, 109.08
526.0, -0.0379, 109.11
527.0, -0.0381, 109.18
528.0, -0.0386, 109.29
529.0, -0.0391, 109.41
530.0, -0.0387, 109.31
531.0, -0.0390, 109.40
