Sample Name, Sample-12
Time, February 03 21:23:35 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.1426, 72.01
401.0, 0.1417, 72.17
402.0, 0.1406, 72.34
403.0, 0.1401, 72.43
404.0, 0.1389, 72.63
405.0, 0.1381, 72.76
406.0, 0.1376, 72.85
407.0, 0.1363, 73.07
408.0, 0.1360, 73.12
409.0, 0.1352, 73.25
410.0, 0.1343, 73.40
411.0, 0.1339, 73.46
412.0, 0.1330, 73.62
413.0, 0.1324, 73.72
414.0, 0.1319, 73.81
415.0, 0.1311, 73.94
416.0, 0.1307, 74.02
417.0, 0.1303, 74.08
418.0, 0.1296, 74.20
419.0, 0.1289, 74.32
420.0, 0.1282, 74.44
421.0, 0.1280, 74.47
422.0, 0.1278, 74.51
423.0, 0.1273, 74.60
424.0, 0.1267, 74.70
425.0, 0.1263, 74.76
426.0, 0.1259, 74.83
427.0, 0.1255, 74.90
428.0, 0.1255, 74.91
429.0, 0.1251, 74.97
430.0, 0.1249, 75.01
431.0, 0.1248, 75.02
432.0, 0.1242, 75.13
433.0, 0.1243, 75.11
434.0, 0.1239, 75.17
435.0, 0.1240, 75.17
436.0, 0.1236, 75.24
437.0, 0.1235, 75.24
438.0, 0.1235, 75.24
439.0, 0.1234, 75.26
440.0, 0.1234, 75.27
441.0, 0.1232, 75.30
442.0, 0.1234, 75.27
443.0, 0.1233, 75.28
444.0, 0.1230, 75.33
445.0, 0.1229, 75.35
446.0, 0.1231, 75.31
447.0, 0.1230, 75.34
448.0, 0.1233, 75.28
449.0, 0.1232, 75.31
450.0, 0.1234, 75.27
451.0, 0.1238, 75.19
452.0, 0.1240, 75.16
453.0, 0.1240, 75.17
454.0, 0.1238, 75.19
455.0, 0.1241, 75.15
456.0, 0.1239, 75.18
457.0, 0.1243, 75.11
458.0, 0.1242, 75.12
459.0, 0.1244, 75.09
460.0, 0.1247, 75.05
461.0, 0.1249, 75.02
462.0, 0.1249, 75.00
463.0, 0.1250, 74.99
464.0, 0.1251, 74.98
465.0, 0.1243, 75.11
466.0, 0.1249, 75.01
467.0, 0.1258, 74.85
468.0, 0.1257, 74.86
469.0, 0.1261, 74.80
470.0, 0.1269, 74.67
471.0, 0.1268, 74.69
472.0, 0.1267, 74.70
473.0, 0.1266, 74.71
474.0, 0.1272, 74.62
475.0, 0.1272, 74.61
476.0, 0.1276, 74.55
477.0, 0.1276, 74.53
478.0, 0.1278, 74.50
479.0, 0.1275, 74.56
480.0, 0.1282, 74.45
481.0, 0.1284, 74.40
482.0, 0.1283, 74.42
483.0, 0.1291, 74.29
484.0, 0.1291, 74.29
485.0, 0.1291, 74.28
486.0, 0.1293, 74.25
487.0, 0.1293, 74.25
488.0, 0.1289, 74.32
489.0, 0.1296, 74.19
490.0, 0.1299, 74.16
491.0, 0.1305, 74.05
492.0, 0.1307, 74.01
493.0, 0.1308, 73.99
494.0, 0.1311, 73.95
495.0, 0.1311, 73.95
496.0, 0.1318, 73.83
497.0, 0.1315, 73.87
498.0, 0.1316, 73.85
499.0, 0.1320, 73.79
500.0, 0.1322, 73.76
501.0, 0.1323, 73.73
502.0, 0.1326, 73.69
503.0, 0.1326, 73.69
504.0, 0.1329, 73.64
505.0, 0.1333, 73.58
506.0, 0.1337, 73.51
507.0, 0.1343, 73.40
508.0, 0.1342, 73.42
509.0, 0.1347, 73.33
510.0, 0.1344, 73.39
511.0, 0.1349, 73.30
512.0, 0.1350, 73.28
513.0, 0.1356, 73.17
514.0, 0.1358, 73.14
515.0, 0.1358, 73.14
516.0, 0.1362, 73.08
517.0, 0.1365, 73.04
518.0, 0.1369, 72.96
519.0, 0.1370, 72.95
520.0, 0.1372, 72.91
521.0, 0.1377, 72.83
522.0, 0.1375, 72.87
523.0, 0.1383, 72.73
524.0, 0.1389, 72.63
525.0, 0.1389, 72.62
526.0, 0.1390, 72.60
527.0, 0.1394, 72.55
528.0, 0.1395, 72.53
529.0, 0.1399, 72.46
530.0, 0.1404, 72.38
531.0, 0.1403, 72.39
532.0, 0.1408, 72.31
533.0, 0.1413, 72.22
534.0, 0.1416, 72.18
