Sample Name, Sample-9
Time, February 03 21:14:40 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.6120, 24.43
401.0, 0.6072, 24.70
402.0, 0.6022, 24.99
403.0, 0.5983, 25.22
404.0, 0.5938, 25.48
405.0, 0.5913, 25.63
406.0, 0.5872, 25.87
407.0, 0.5831, 26.12
408.0, 0.5790, 26.36
409.0, 0.5771, 26.48
410.0, 0.5733, 26.71
411.0, 0.5702, 26.91
412.0, 0.5668, 27.12
413.0, 0.5648, 27.24
414.0, 0.5620, 27.41
415.0, 0.5590, 27.61
416.0, 0.5565, 27.77
417.0, 0.5547, 27.88
418.0, 0.5520, 28.06
419.0, 0.5496, 28.21
420.0, 0.5474, 28.35
421.0, 0.5462, 28.43
422.0, 0.5444, 28.55
423.0, 0.5428, 28.66
424.0, 0.5409, 28.78
425.0, 0.5394, 28.88
426.0, 0.5381, 28.97
427.0, 0.5365, 29.07
428.0, 0.5357, 29.13
429.0, 0.5348, 29.19
430.0, 0.5339, 29.25
431.0, 0.5330, 29.31
432.0, 0.5321, 29.37
433.0, 0.5321, 29.37
434.0, 0.5308, 29.46
435.0, 0.5307, 29.47
436.0, 0.5299, 29.52
437.0, 0.5299, 29.52
438.0, 0.5300, 29.52
439.0, 0.5301, 29.50
440.0, 0.5295, 29.54
441.0, 0.5303, 29.49
442.0, 0.5311, 29.44
443.0, 0.5300, 29.51
444.0, 0.5304, 29.49
445.0, 0.5315, 29.41
446.0, 0.5318, 29.39
447.0, 0.5315, 29.41
448.0, 0.5329, 29.32
449.0, 0.5340, 29.24
450.0, 0.5351, 29.17
451.0, 0.5354, 29.15
452.0, 0.5355, 29.14
453.0, 0.5372, 29.03
454.0, 0.5383, 28.95
455.0, 0.5389, 28.91
456.0, 0.5398, 28.85
457.0, 0.5415, 28.74
458.0, 0.5424, 28.68
459.0, 0.5435, 28.61
460.0, 0.5441, 28.57
461.0, 0.5462, 28.43
462.0, 0.5467, 28.40
463.0, 0.5482, 28.30
464.0, 0.5490, 28.25
465.0, 0.5495, 28.21
466.0, 0.5528, 28.00
467.0, 0.5534, 27.97
468.0, 0.5551, 27.86
469.0, 0.5568, 27.74
470.0, 0.5574, 27.71
471.0, 0.5599, 27.55
472.0, 0.5615, 27.45
473.0, 0.5625, 27.39
474.0, 0.5629, 27.36
475.0, 0.5652, 27.21
476.0, 0.5674, 27.08
477.0, 0.5682, 27.03
478.0, 0.5697, 26.93
479.0, 0.5717, 26.81
480.0, 0.5727, 26.75
481.0, 0.5747, 26.62
482.0, 0.5760, 26.55
483.0, 0.5788, 26.38
484.0, 0.5798, 26.31
485.0, 0.5811, 26.24
486.0, 0.5834, 26.10
487.0, 0.5848, 26.01
488.0, 0.5863, 25.93
489.0, 0.5884, 25.80
490.0, 0.5907, 25.67
491.0, 0.5920, 25.59
492.0, 0.5941, 25.47
493.0, 0.5954, 25.39
494.0, 0.5975, 25.26
495.0, 0.5994, 25.16
496.0, 0.6019, 25.01
497.0, 0.6039, 24.90
498.0, 0.6048, 24.84
499.0, 0.6072, 24.70
500.0, 0.6098, 24.56
501.0, 0.6111, 24.49
502.0, 0.6129, 24.38
503.0, 0.6151, 24.26
504.0, 0.6169, 24.16
505.0, 0.6197, 24.00
506.0, 0.6215, 23.90
507.0, 0.6235, 23.80
508.0, 0.6252, 23.70
509.0, 0.6272, 23.59
510.0, 0.6297, 23.46
511.0, 0.6314, 23.36
512.0, 0.6342, 23.22
513.0, 0.6358, 23.13
514.0, 0.6381, 23.01
515.0, 0.6405, 22.88
516.0, 0.6427, 22.77
517.0, 0.6444, 22.68
518.0, 0.6472, 22.53
519.0, 0.6492, 22.43
520.0, 0.6518, 22.30
521.0, 0.6542, 22.17
522.0, 0.6557, 22.10
523.0, 0.6585, 21.95
524.0, 0.6619, 21.78
525.0, 0.6637, 21.69
526.0, 0.6663, 21.56
527.0, 0.6691, 21.42
528.0, 0.6709, 21.34
529.0, 0.6734, 21.21
530.0, 0.6766, 21.06
531.0, 0.6789, 20.95
532.0, 0.6813, 20.83
533.0, 0.6843, 20.69
534.0, 0.6869, 20.56
535.0, 0.6902, 20.41
536.0, 0.6927, 20.29
537.0, 0.6956, 20.15
538.0, 0.6985, 20.02
539.0, 0.7006, 19.93
540.0, 0.7040, 19.77
541.0, 0.7074, 19.62
542.0, 0.7096, 19.52
543.0, 0.7127, 19.38
544.0, 0.7160, 19.23
545.0, 0.7189, 19.10
546.0, 0.7219, 18.97
