Sample Name, Sample-2
Time, January 27 22:04:31 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 300.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
300.0, 4.5297, 0.00
301.0, 4.5301, 0.00
302.0, 4.5295, 0.00
303.0, 4.5286, 0.00
304.0, 4.5280, 0.00
305.0, 4.5268, 0.00
306.0, 3.6293, 0.02
307.0, 3.2756, 0.05
308.0, 2.8668, 0.14
309.0, 2.5808, 0.26
310.0, 2.3938, 0.40
311.0, 2.3088, 0.49
312.0, 2.1964, 0.64
313.0, 2.1314, 0.74
314.0, 2.0362, 0.92
315.0, 1.9589, 1.10
316.0, 1.8760, 1.33
317.0, 1.8007, 1.58
318.0, 1.7566, 1.75
319.0, 1.6822, 2.08
320.0, 1.6108, 2.45
321.0, 1.5434, 2.86
322.0, 1.4792, 3.32
323.0, 1.4232, 3.77
324.0, 1.3654, 4.31
325.0, 1.3100, 4.90
326.0, 1.2638, 5.45
327.0, 1.2151, 6.09
328.0, 1.1620, 6.89
329.0, 1.1143, 7.69
330.0, 1.0691, 8.53
331.0, 1.0266, 9.41
332.0, 0.9922, 10.18
333.0, 0.9514, 11.18
334.0, 0.9118, 12.25
335.0, 0.8739, 13.37
336.0, 0.8454, 14.28
337.0, 0.8114, 15.44
338.0, 0.7847, 16.42
339.0, 0.7561, 17.53
340.0, 0.7251, 18.83
341.0, 0.7014, 19.89
342.0, 0.6743, 21.17
343.0, 0.6503, 22.37
344.0, 0.6278, 23.56
345.0, 0.6045, 24.86
346.0, 0.5860, 25.94
347.0, 0.5673, 27.08
348.0, 0.5474, 28.35
349.0, 0.5309, 29.45
350.0, 0.5147, 30.57
351.0, 0.4977, 31.79
352.0, 0.4827, 32.91
353.0, 0.4695, 33.92
354.0, 0.4560, 35.00
355.0, 0.4420, 36.14
356.0, 0.4300, 37.15
357.0, 0.4179, 38.20
358.0, 0.4071, 39.16
359.0, 0.3965, 40.13
360.0, 0.3867, 41.04
361.0, 0.3773, 41.95
362.0, 0.3677, 42.89
363.0, 0.3591, 43.74
364.0, 0.3507, 44.60
365.0, 0.3430, 45.39
366.0, 0.3361, 46.13
367.0, 0.3280, 46.99
368.0, 0.3227, 47.56
369.0, 0.3158, 48.33
370.0, 0.3099, 48.99
371.0, 0.3004, 50.07
372.0, 0.2946, 50.75
373.0, 0.2895, 51.34
374.0, 0.2836, 52.05
375.0, 0.2790, 52.60
376.0, 0.2742, 53.19
377.0, 0.2697, 53.74
378.0, 0.2655, 54.26
379.0, 0.2617, 54.73
380.0, 0.2574, 55.28
381.0, 0.2531, 55.83
382.0, 0.2503, 56.19
383.0, 0.2459, 56.77
384.0, 0.2433, 57.11
385.0, 0.2395, 57.61
386.0, 0.2365, 58.01
387.0, 0.2336, 58.40
388.0, 0.2306, 58.81
389.0, 0.2280, 59.16
390.0, 0.2251, 59.55
391.0, 0.2235, 59.77
392.0, 0.2203, 60.21
393.0, 0.2184, 60.48
394.0, 0.2161, 60.80
395.0, 0.2135, 61.16
396.0, 0.2115, 61.44
397.0, 0.2100, 61.67
398.0, 0.2077, 61.98
399.0, 0.2060, 62.24
400.0, 0.2039, 62.54
401.0, 0.2020, 62.80
402.0, 0.2004, 63.04
403.0, 0.1984, 63.33
404.0, 0.1971, 63.52
405.0, 0.1954, 63.77
