Sample Name, Sample-7
Time, January 27 22:56:59 2013
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1000.0nm
Scan To, 400.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
400.0, 0.0659, 85.92
401.0, 0.0648, 86.14
402.0, 0.0647, 86.16
403.0, 0.0636, 86.37
404.0, 0.0632, 86.45
405.0, 0.0626, 86.57
406.0, 0.0618, 86.73
407.0, 0.0611, 86.87
408.0, 0.0608, 86.93
409.0, 0.0601, 87.07
410.0, 0.0594, 87.22
411.0, 0.0587, 87.36
412.0, 0.0585, 87.40
413.0, 0.0578, 87.55
414.0, 0.0571, 87.67
415.0, 0.0569, 87.71
416.0, 0.0563, 87.85
417.0, 0.0561, 87.88
418.0, 0.0555, 88.00
419.0, 0.0551, 88.08
420.0, 0.0543, 88.25
421.0, 0.0540, 88.32
422.0, 0.0532, 88.47
423.0, 0.0527, 88.56
424.0, 0.0524, 88.64
425.0, 0.0519, 88.73
426.0, 0.0509, 88.94
427.0, 0.0503, 89.07
428.0, 0.0494, 89.26
429.0, 0.0493, 89.27
430.0, 0.0489, 89.35
431.0, 0.0488, 89.36
432.0, 0.0489, 89.35
433.0, 0.0491, 89.31
434.0, 0.0492, 89.29
435.0, 0.0488, 89.38
436.0, 0.0489, 89.34
437.0, 0.0490, 89.34
438.0, 0.0492, 89.29
439.0, 0.0485, 89.43
440.0, 0.0481, 89.52
441.0, 0.0482, 89.50
442.0, 0.0482, 89.49
443.0, 0.0481, 89.52
444.0, 0.0482, 89.49
445.0, 0.0480, 89.54
446.0, 0.0480, 89.55
447.0, 0.0473, 89.67
448.0, 0.0476, 89.62
449.0, 0.0475, 89.64
450.0, 0.0469, 89.76
451.0, 0.0454, 90.07
452.0, 0.0453, 90.10
453.0, 0.0450, 90.15
454.0, 0.0451, 90.15
455.0, 0.0452, 90.11
456.0, 0.0444, 90.29
457.0, 0.0451, 90.14
458.0, 0.0444, 90.27
459.0, 0.0442, 90.33
460.0, 0.0443, 90.30
461.0, 0.0442, 90.32
462.0, 0.0438, 90.41
463.0, 0.0443, 90.31
464.0, 0.0441, 90.34
465.0, 0.0441, 90.35
466.0, 0.0448, 90.20
467.0, 0.0437, 90.42
468.0, 0.0429, 90.60
469.0, 0.0436, 90.45
470.0, 0.0433, 90.51
471.0, 0.0439, 90.38
472.0, 0.0435, 90.47
473.0, 0.0432, 90.53
474.0, 0.0433, 90.52
475.0, 0.0434, 90.49
476.0, 0.0431, 90.56
477.0, 0.0431, 90.55
478.0, 0.0430, 90.57
479.0, 0.0431, 90.55
480.0, 0.0427, 90.64
481.0, 0.0427, 90.63
482.0, 0.0428, 90.61
483.0, 0.0427, 90.64
484.0, 0.0434, 90.48
485.0, 0.0426, 90.65
486.0, 0.0430, 90.58
487.0, 0.0430, 90.58
488.0, 0.0429, 90.60
489.0, 0.0428, 90.62
490.0, 0.0427, 90.64
491.0, 0.0423, 90.71
492.0, 0.0426, 90.65
493.0, 0.0427, 90.63
494.0, 0.0429, 90.59
495.0, 0.0428, 90.61
496.0, 0.0429, 90.58
497.0, 0.0431, 90.56
498.0, 0.0425, 90.69
499.0, 0.0426, 90.65
500.0, 0.0430, 90.56
501.0, 0.0424, 90.69
502.0, 0.0427, 90.63
503.0, 0.0424, 90.71
504.0, 0.0424, 90.69
505.0, 0.0427, 90.64
506.0, 0.0425, 90.67
507.0, 0.0421, 90.75
508.0, 0.0427, 90.63
509.0, 0.0423, 90.71
510.0, 0.0428, 90.61
511.0, 0.0425, 90.69
512.0, 0.0426, 90.65
513.0, 0.0424, 90.70
514.0, 0.0418, 90.82
515.0, 0.0421, 90.76
516.0, 0.0425, 90.67
517.0, 0.0426, 90.65
518.0, 0.0429, 90.59
519.0, 0.0422, 90.75
520.0, 0.0426, 90.65
521.0, 0.0432, 90.53
522.0, 0.0430, 90.58
523.0, 0.0426, 90.65
524.0, 0.0424, 90.69
525.0, 0.0427, 90.64
526.0, 0.0430, 90.57
527.0, 0.0429, 90.59
528.0, 0.0428, 90.62
529.0, 0.0428, 90.62
530.0, 0.0426, 90.66
531.0, 0.0427, 90.63
532.0, 0.0430, 90.58
533.0, 0.0426, 90.67
534.0, 0.0434, 90.49
535.0, 0.0428, 90.61
536.0, 0.0432, 90.53
537.0, 0.0433, 90.52
538.0, 0.0433, 90.51
539.0, 0.0433, 90.52
540.0, 0.0435, 90.46
541.0, 0.0434, 90.49
542.0, 0.0433, 90.51
543.0, 0.0436, 90.45
544.0, 0.0434, 90.49
545.0, 0.0435, 90.47
546.0, 0.0434, 90.49
547.0, 0.0439, 90.38
548.0, 0.0436, 90.46
549.0, 0.0435, 90.46
550.0, 0.0440, 90.36
551.0, 0.0443, 90.30
552.0, 0.0444, 90.28
553.0, 0.0441, 90.33
554.0, 0.0449, 90.17
555.0, 0.0448, 90.20
556.0, 0.0449, 90.18
557.0, 0.0451, 90.13
558.0, 0.0451, 90.14
559.0, 0.0454, 90.07
560.0, 0.0460, 89.94
561.0, 0.0461, 89.94
562.0, 0.0461, 89.93
563.0, 0.0465, 89.84
564.0, 0.0464, 89.87
565.0, 0.0465, 89.84
566.0, 0.0464, 89.87
567.0, 0.0468, 89.79
568.0, 0.0470, 89.74
569.0, 0.0473, 89.68
570.0, 0.0473, 89.69
571.0, 0.0476, 89.63
572.0, 0.0478, 89.57
573.0, 0.0481, 89.51
574.0, 0.0483, 89.48
575.0, 0.0484, 89.46
576.0, 0.0486, 89.42
577.0, 0.0488, 89.37
578.0, 0.0494, 89.26
579.0, 0.0491, 89.31
580.0, 0.0497, 89.18
581.0, 0.0497, 89.18
582.0, 0.0496, 89.20
583.0, 0.0501, 89.10
584.0, 0.0508, 88.97
585.0, 0.0510, 88.93
586.0, 0.0541, 88.28
587.0, 0.0553, 88.04
588.0, 0.0553, 88.04
589.0, 0.0554, 88.02
590.0, 0.0556, 87.98
591.0, 0.0554, 88.02
592.0, 0.0561, 87.88
593.0, 0.0562, 87.86
594.0, 0.0565, 87.79
595.0, 0.0569, 87.72
596.0, 0.0570, 87.69
597.0, 0.0573, 87.63
598.0, 0.0569, 87.73
599.0, 0.0579, 87.51
600.0, 0.0577, 87.56
601.0, 0.0584, 87.41
602.0, 0.0588, 87.34
603.0, 0.0586, 87.37
604.0, 0.0589, 87.31
605.0, 0.0593, 87.25
606.0, 0.0598, 87.14
607.0, 0.0595, 87.19
608.0, 0.0603, 87.05
609.0, 0.0603, 87.03
610.0, 0.0607, 86.95
611.0, 0.0607, 86.95
612.0, 0.0613, 86.84
613.0, 0.0614, 86.82
614.0, 0.0617, 86.76
615.0, 0.0615, 86.79
616.0, 0.0629, 86.52
617.0, 0.0626, 86.58
618.0, 0.0630, 86.50
619.0, 0.0637, 86.35
620.0, 0.0634, 86.42
621.0, 0.0634, 86.42
622.0, 0.0631, 86.48
623.0, 0.0639, 86.31
624.0, 0.0649, 86.13
625.0, 0.0648, 86.14
626.0, 0.0649, 86.13
627.0, 0.0650, 86.10
628.0, 0.0655, 85.99
629.0, 0.0657, 85.96
630.0, 0.0654, 86.01
631.0, 0.0664, 85.82
632.0, 0.0666, 85.78
633.0, 0.0666, 85.78
634.0, 0.0670, 85.70
635.0, 0.0675, 85.60
636.0, 0.0674, 85.63
637.0, 0.0681, 85.49
638.0, 0.0679, 85.52
639.0, 0.0683, 85.44
640.0, 0.0683, 85.45
641.0, 0.0688, 85.36
642.0, 0.0691, 85.29
643.0, 0.0696, 85.20
644.0, 0.0700, 85.11
645.0, 0.0704, 85.04
646.0, 0.0702, 85.07
647.0, 0.0709, 84.94
648.0, 0.0705, 85.02
649.0, 0.0712, 84.89
650.0, 0.0708, 84.95
651.0, 0.0718, 84.76
652.0, 0.0715, 84.82
653.0, 0.0715, 84.81
654.0, 0.0712, 84.88
655.0, 0.0721, 84.70
656.0, 0.0720, 84.72
657.0, 0.0723, 84.67
658.0, 0.0729, 84.54
659.0, 0.0725, 84.63
660.0, 0.0731, 84.52
661.0, 0.0734, 84.45
662.0, 0.0734, 84.45
663.0, 0.0740, 84.34
664.0, 0.0744, 84.26
665.0, 0.0747, 84.19
666.0, 0.0750, 84.14
667.0, 0.0751, 84.12
668.0, 0.0754, 84.05
669.0, 0.0755, 84.04
670.0, 0.0766, 83.83
671.0, 0.0758, 83.99
672.0, 0.0762, 83.90
673.0, 0.0773, 83.69
674.0, 0.0767, 83.81
675.0, 0.0763, 83.89
676.0, 0.0767, 83.81
677.0, 0.0767, 83.82
678.0, 0.0765, 83.84
679.0, 0.0764, 83.86
680.0, 0.0774, 83.67
681.0, 0.0777, 83.61
682.0, 0.0778, 83.59
683.0, 0.0771, 83.74
684.0, 0.0778, 83.59
685.0, 0.0777, 83.61
686.0, 0.0784, 83.48
687.0, 0.0782, 83.51
688.0, 0.0787, 83.42
689.0, 0.0784, 83.49
690.0, 0.0789, 83.39
691.0, 0.0792, 83.32
692.0, 0.0795, 83.28
693.0, 0.0797, 83.24
694.0, 0.0806, 83.07
695.0, 0.0803, 83.11
696.0, 0.0803, 83.11
697.0, 0.0806, 83.05
698.0, 0.0806, 83.07
699.0, 0.0808, 83.02
700.0, 0.0812, 82.95
701.0, 0.0813, 82.93
702.0, 0.0807, 83.04
703.0, 0.0816, 82.88
704.0, 0.0819, 82.81
705.0, 0.0820, 82.78
706.0, 0.0824, 82.72
707.0, 0.0823, 82.73
708.0, 0.0827, 82.67
709.0, 0.0827, 82.65
710.0, 0.0829, 82.63
711.0, 0.0829, 82.63
712.0, 0.0831, 82.58
713.0, 0.0832, 82.57
714.0, 0.0837, 82.48
715.0, 0.0835, 82.50
716.0, 0.0835, 82.50
717.0, 0.0839, 82.43
718.0, 0.0837, 82.48
719.0, 0.0840, 82.41
720.0, 0.0842, 82.37
721.0, 0.0843, 82.36
722.0, 0.0845, 82.32
723.0, 0.0847, 82.28
724.0, 0.0843, 82.35
725.0, 0.0843, 82.35
726.0, 0.0851, 82.21
727.0, 0.0849, 82.24
728.0, 0.0850, 82.23
729.0, 0.0850, 82.23
730.0, 0.0855, 82.13
731.0, 0.0854, 82.14
732.0, 0.0853, 82.17
733.0, 0.0854, 82.15
734.0, 0.0859, 82.06
735.0, 0.0857, 82.09
736.0, 0.0861, 82.01
737.0, 0.0862, 82.01
738.0, 0.0858, 82.07
739.0, 0.0858, 82.07
740.0, 0.0862, 81.99
741.0, 0.0862, 81.99
742.0, 0.0862, 82.00
743.0, 0.0861, 82.01
744.0, 0.0863, 81.98
745.0, 0.0863, 81.98
746.0, 0.0862, 82.00
747.0, 0.0862, 81.99
748.0, 0.0865, 81.95
749.0, 0.0863, 81.98
750.0, 0.0863, 81.97
751.0, 0.0866, 81.92
752.0, 0.0861, 82.02
753.0, 0.0863, 81.99
754.0, 0.0860, 82.03
755.0, 0.0859, 82.05
756.0, 0.0863, 81.98
757.0, 0.0865, 81.94
758.0, 0.0858, 82.08
759.0, 0.0859, 82.06
760.0, 0.0862, 82.00
761.0, 0.0857, 82.09
762.0, 0.0854, 82.16
763.0, 0.0854, 82.14
764.0, 0.0859, 82.06
765.0, 0.0857, 82.09
766.0, 0.0854, 82.15
767.0, 0.0852, 82.18
768.0, 0.0855, 82.13
769.0, 0.0851, 82.21
770.0, 0.0844, 82.33
771.0, 0.0853, 82.17
772.0, 0.0846, 82.30
773.0, 0.0842, 82.37
774.0, 0.0838, 82.45
775.0, 0.0845, 82.32
776.0, 0.0843, 82.37
777.0, 0.0840, 82.41
778.0, 0.0841, 82.39
779.0, 0.0836, 82.49
780.0, 0.0834, 82.53
781.0, 0.0834, 82.54
782.0, 0.0832, 82.57
783.0, 0.0832, 82.57
784.0, 0.0825, 82.69
785.0, 0.0833, 82.55
786.0, 0.0824, 82.72
787.0, 0.0824, 82.72
788.0, 0.0820, 82.79
789.0, 0.0811, 82.96
790.0, 0.0813, 82.94
791.0, 0.0817, 82.84
792.0, 0.0813, 82.93
793.0, 0.0805, 83.07
794.0, 0.0804, 83.11
795.0, 0.0807, 83.04
796.0, 0.0804, 83.09
797.0, 0.0800, 83.17
798.0, 0.0797, 83.24
799.0, 0.0794, 83.29
800.0, 0.0792, 83.33
801.0, 0.0788, 83.41
802.0, 0.0788, 83.41
803.0, 0.0784, 83.49
804.0, 0.0782, 83.53
805.0, 0.0779, 83.57
806.0, 0.0772, 83.71
807.0, 0.0770, 83.75
808.0, 0.0767, 83.80
809.0, 0.0768, 83.79
810.0, 0.0766, 83.84
811.0, 0.0764, 83.87
812.0, 0.0760, 83.95
813.0, 0.0755, 84.04
814.0, 0.0753, 84.09
815.0, 0.0752, 84.09
816.0, 0.0747, 84.21
817.0, 0.0748, 84.17
818.0, 0.0740, 84.33
819.0, 0.0740, 84.33
820.0, 0.0736, 84.42
821.0, 0.0735, 84.43
822.0, 0.0731, 84.51
823.0, 0.0728, 84.57
824.0, 0.0725, 84.63
825.0, 0.0726, 84.62
826.0, 0.0723, 84.66
827.0, 0.0716, 84.80
828.0, 0.0714, 84.83
829.0, 0.0710, 84.91
830.0, 0.0708, 84.95
831.0, 0.0709, 84.94
832.0, 0.0704, 85.03
833.0, 0.0703, 85.06
834.0, 0.0700, 85.11
835.0, 0.0695, 85.22
836.0, 0.0696, 85.20
837.0, 0.0690, 85.31
838.0, 0.0686, 85.39
839.0, 0.0685, 85.40
840.0, 0.0685, 85.41
841.0, 0.0681, 85.48
842.0, 0.0679, 85.52
843.0, 0.0679, 85.52
844.0, 0.0674, 85.63
845.0, 0.0676, 85.59
846.0, 0.0673, 85.64
847.0, 0.0669, 85.72
848.0, 0.0669, 85.73
849.0, 0.0663, 85.84
850.0, 0.0664, 85.81
851.0, 0.0619, 86.71
852.0, 0.0613, 86.84
853.0, 0.0615, 86.80
854.0, 0.0617, 86.76
855.0, 0.0615, 86.79
856.0, 0.0609, 86.92
857.0, 0.0606, 86.98
858.0, 0.0604, 87.02
859.0, 0.0609, 86.92
860.0, 0.0604, 87.01
861.0, 0.0603, 87.03
862.0, 0.0603, 87.03
863.0, 0.0597, 87.16
864.0, 0.0594, 87.22
865.0, 0.0594, 87.23
866.0, 0.0590, 87.30
867.0, 0.0588, 87.33
868.0, 0.0587, 87.37
869.0, 0.0582, 87.46
870.0, 0.0581, 87.47
871.0, 0.0580, 87.49
872.0, 0.0585, 87.40
873.0, 0.0578, 87.53
874.0, 0.0574, 87.61
875.0, 0.0578, 87.54
876.0, 0.0575, 87.61
877.0, 0.0565, 87.80
878.0, 0.0569, 87.72
879.0, 0.0568, 87.75
880.0, 0.0566, 87.79
881.0, 0.0562, 87.86
882.0, 0.0563, 87.83
883.0, 0.0563, 87.84
884.0, 0.0561, 87.88
885.0, 0.0562, 87.87
886.0, 0.0558, 87.94
887.0, 0.0558, 87.94
888.0, 0.0556, 87.97
889.0, 0.0553, 88.04
890.0, 0.0552, 88.07
891.0, 0.0552, 88.07
892.0, 0.0548, 88.14
893.0, 0.0548, 88.15
894.0, 0.0552, 88.06
895.0, 0.0548, 88.14
896.0, 0.0544, 88.23
897.0, 0.0544, 88.23
898.0, 0.0544, 88.23
899.0, 0.0536, 88.38
900.0, 0.0545, 88.22
901.0, 0.0536, 88.39
902.0, 0.0536, 88.38
903.0, 0.0534, 88.43
904.0, 0.0532, 88.48
905.0, 0.0530, 88.50
906.0, 0.0534, 88.43
907.0, 0.0530, 88.52
908.0, 0.0529, 88.52
909.0, 0.0524, 88.64
910.0, 0.0528, 88.55
911.0, 0.0523, 88.65
912.0, 0.0520, 88.71
913.0, 0.0518, 88.76
914.0, 0.0519, 88.74
915.0, 0.0522, 88.68
916.0, 0.0517, 88.78
917.0, 0.0516, 88.81
918.0, 0.0515, 88.82
919.0, 0.0515, 88.83
920.0, 0.0513, 88.86
921.0, 0.0511, 88.89
922.0, 0.0512, 88.88
923.0, 0.0506, 89.00
924.0, 0.0506, 89.00
925.0, 0.0503, 89.06
926.0, 0.0498, 89.17
927.0, 0.0495, 89.23
928.0, 0.0503, 89.07
929.0, 0.0498, 89.16
930.0, 0.0497, 89.18
931.0, 0.0491, 89.30
932.0, 0.0492, 89.30
933.0, 0.0488, 89.37
934.0, 0.0484, 89.45
935.0, 0.0482, 89.50
936.0, 0.0486, 89.40
937.0, 0.0481, 89.51
938.0, 0.0481, 89.52
939.0, 0.0476, 89.62
940.0, 0.0476, 89.62
941.0, 0.0473, 89.68
942.0, 0.0476, 89.63
943.0, 0.0474, 89.66
944.0, 0.0470, 89.74
945.0, 0.0467, 89.80
946.0, 0.0472, 89.70
947.0, 0.0464, 89.87
948.0, 0.0464, 89.87
949.0, 0.0461, 89.92
950.0, 0.0452, 90.12
951.0, 0.0493, 89.26
952.0, 0.0489, 89.36
953.0, 0.0486, 89.40
954.0, 0.0482, 89.50
955.0, 0.0474, 89.66
956.0, 0.0475, 89.64
957.0, 0.0470, 89.74
958.0, 0.0463, 89.88
959.0, 0.0459, 89.97
960.0, 0.0458, 89.99
961.0, 0.0455, 90.06
962.0, 0.0459, 89.97
963.0, 0.0460, 89.95
964.0, 0.0457, 90.01
965.0, 0.0458, 90.00
966.0, 0.0456, 90.03
967.0, 0.0454, 90.07
968.0, 0.0458, 89.99
969.0, 0.0460, 89.96
970.0, 0.0461, 89.93
